,zonas,enderecos,precos,areas,quartos
98,sul,"Rua Coronel Conrado Siqueira Campos, Jardim Das Acácias, São Paulo Zona Sul, São Paulo",2500,160,3.0
99,sul,"Rua Dos Beija-flores, Vila Parque Jabaquara, São Paulo Zona Sul, São Paulo",3500,120,3.0
100,sul,"Rua Lino Coutinho, Ipiranga, São Paulo Zona Sul, São Paulo",4411,80,3.0
101,sul,"Avenida Giovanni Gronchi, Vila Andrade, São Paulo Zona Sul, São Paulo",1522,58,2.0
102,sul,"Alameda Dos Arapanés, Moema, São Paulo Zona Sul, São Paulo",9000,200,4.0
103,sul,"Rua Pedroso Alvarenga, Itaim Bibi, São Paulo Zona Sul, São Paulo",4000,120,3.0
104,sul,"Avenida Dos Carinás, Indianópolis, São Paulo Zona Sul, São Paulo",3000,25,
105,sul,"Rua Bandeira Paulista, Itaim Bibi, São Paulo Zona Sul, São Paulo",6000,75,
106,sul,"Rua Loureiro Da Cruz, Aclimação, São Paulo Zona Sul, São Paulo",3468,108,3.0
107,sul,"Rua Uvaias, Saúde, São Paulo Zona Sul, São Paulo",2065,50,
108,sul,"Avenida Divino Salvador, Planalto Paulista, São Paulo Zona Sul, São Paulo",4700,220,3.0
109,sul,"Rua Alvorada, Vila Olímpia, São Paulo Zona Sul, São Paulo",2835,75,2.0
110,sul,"Rua César Vallejo, Real Parque, São Paulo Zona Sul, São Paulo",5000,237,3.0
111,sul,"Rua Cabo Verde, Vila Olímpia, São Paulo Zona Sul, São Paulo",2500,77,2.0
112,sul,"Avenida Jamaris, Planalto Paulista, São Paulo Zona Sul, São Paulo",10800,198,3.0
113,sul,"Avenida Armando Ferrentini, Paraíso, São Paulo Zona Sul, São Paulo",10000,213,4.0
114,sul,"Rua Eugênio Falk, Saúde, São Paulo Zona Sul, São Paulo",1155,60,2.0
115,sul,"Rua Doutor Eduardo De Souza Aranha, Vila Nova Conceição, São Paulo Zona Sul, São Paulo",3066,48,
116,sul,"Avenida Carlos Liviero, Vila Liviero, São Paulo Zona Sul, São Paulo",1400,53,2.0
117,sul,"Rua Gomes De Carvalho, Vila Olímpia, São Paulo Zona Sul, São Paulo",2712,69,2.0
118,sul,"Rua Major Freire, Vila Monte Alegre, São Paulo Zona Sul, São Paulo",2239,66,2.0
119,sul,"Rua Domingos De Morais, Vila Mariana, São Paulo Zona Sul, São Paulo",1750,40,
120,sul,"Alameda Dos Anapurus, Indianópolis, São Paulo Zona Sul, São Paulo",4900,42,
121,sul,"Alameda Lorena, Jardim Paulista, São Paulo Zona Sul, São Paulo",4135,100,2.0
122,sul,"Rua Urussuí, Itaim Bibi, São Paulo Zona Sul, São Paulo",8321,100,2.0
123,sul,"Rua Vinte E Cinco De Janeiro, Cidade Luz, São Paulo Zona Sul, São Paulo",2000,48,
124,sul,"Rua Princesa Isabel, Brooklin Paulista, São Paulo Zona Sul, São Paulo",1600,37,
125,sul,"Avenida Susana, Vila Gumercindo, São Paulo Zona Sul, São Paulo",1500,55,2.0
126,sul,"Avenida Padre Arlindo Vieira, Vila Vermelha, São Paulo Zona Sul, São Paulo",2800,64,3.0
127,sul,"Alameda Guaramomis, Planalto Paulista, São Paulo Zona Sul, São Paulo",15000,250,4.0
128,sul,"Avenida Rouxinol, Vila Clementino, São Paulo Zona Sul, São Paulo",1720,28,
129,sul,"Avenida Jamaris, Planalto Paulista, São Paulo Zona Sul, São Paulo",4500,54,2.0
130,sul,"Avenida Padre Arlindo Vieira, Vila Vermelha, São Paulo Zona Sul, São Paulo",1700,70,2.0
131,sul,"Rua Bandeira Paulista, Itaim Bibi, São Paulo Zona Sul, São Paulo",4663,41,
132,sul,"Rua Doutor Renato Paes De Barros, Itaim Bibi, São Paulo Zona Sul, São Paulo",4500,42,
133,sul,"Rua Joel Jorge De Melo, Vila Mariana, São Paulo Zona Sul, São Paulo",2300,72,2.0
134,sul,"Rua Silva Bueno, Ipiranga, São Paulo Zona Sul, São Paulo",2060,70,2.0
135,sul,"Rua Elba, Vila Moinho Velho, São Paulo Zona Sul, São Paulo",1854,120,3.0
136,sul,"Avenida Cupecê, Jardim Prudência, São Paulo Zona Sul, São Paulo",1500,70,2.0
137,sul,"Rua Barra Do Parateca, Vila Guarani (z Sul), São Paulo Zona Sul, São Paulo",1000,50,
138,sul,"Rua Nova York, Brooklin Paulista, São Paulo Zona Sul, São Paulo",2900,41,
139,sul,"Vila Andrade, São Paulo - Sp, 05727-250, Brasil, Vila Andrade, São Paulo Zona Sul, São Paulo",2300,117,4.0
140,sul,"Rua Regente Leon Kaniefsky, Vila Progredior, São Paulo Zona Sul, São Paulo",5000,126,3.0
141,sul,"Rua Antônio Das Chagas, Chácara Santo Antônio, São Paulo Zona Sul, São Paulo",5500,80,2.0
142,sul,"Alameda Fernão Cardim, Jardim Paulista, São Paulo Zona Sul, São Paulo",3700,136,2.0
143,sul,"Rua Nova York, Brooklin Paulista, São Paulo Zona Sul, São Paulo",6000,65,2.0
144,sul,"R. Castelhano, Vila Andrade, São Paulo Zona Sul, São Paulo",2000,152,3.0
145,sul,"Rua Antônio Das Chagas, Chácara Santo Antônio, São Paulo Zona Sul, São Paulo",2625,54,2.0
146,sul,"Rua Barao Do Valim, Campo Belo, São Paulo Zona Sul, São Paulo",2300,75,2.0
147,sul,"Alameda Jaú, Jardim Paulista, São Paulo Zona Sul, São Paulo",3569,119,3.0
148,sul,"Alameda Jaú, Jardim Paulista, São Paulo Zona Sul, São Paulo",6000,160,3.0
149,sul,"Rua Doutor Nicolau De Sousa Queirós, Vila Mariana, São Paulo Zona Sul, São Paulo",3900,150,3.0
150,sul,"Rua Itapiru, Saúde, São Paulo Zona Sul, São Paulo",1900,60,2.0
151,sul,"Alameda Campinas, Jardim Paulista, São Paulo Zona Sul, São Paulo",4500,170,3.0
152,sul,"Rua Do Arraial, Vila Mariana, São Paulo Zona Sul, São Paulo",3800,68,3.0
153,sul,"Rua Bagé, Vila Mariana, São Paulo Zona Sul, São Paulo",3400,105,3.0
154,sul,"Rua Professor Tamandaré Toledo, Itaim Bibi, São Paulo Zona Sul, São Paulo",2663,40,
155,sul,"Rua Quatá, Vila Olímpia, São Paulo Zona Sul, São Paulo",4200,44,
